Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Au_211_bridge1-t   1.341   2.99   2.99   1.01   3.35   9.5   2   -3.264   1.449   1.473   9.383   5.28   9.226   2.309   9.72   1.297   2.54   0.098   0.223   
OH_Pd_211_bridge2-t   0.621   2.819   2.809   0.94   2.78   9.0   2   -1.635   1.372   0.587   4.77   5.21   8.337   0.562   9.288   0.773   2.2   2.33   0.125   
OH_Ru_111_bridge   -0.202   2.732   2.71   1.05   3.87   9.0   2   -1.318   2.085   0.338   3.172   5.266   7.361   1.046   7.068   0.888   2.2   2.11   0.216   
OH_Ag_211_bridge2-t   0.612   2.985   2.972   0.89   2.26   9.0   2   -4.033   1.122   3.417   25.416   4.427   7.576   1.304   9.843   1.148   1.93   0.04   0.281   
OH_Ag@Cu_211_bridge2-t-2   0.284   2.603   2.588   0.67   1.0   9.0   2   -2.405   1.064   1.604   13.541   4.719   7.726   1.236   9.735   1.242   1.9   0.105   0.248   
OH_PtRh_211_bridge2-s-2   -0.158   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
OH_Ag@Cu_211_top-s-2   -0.016   2.603   2.552   0.67   1.0   7.0   1   -2.316   0.977   1.235   12.981   4.719   7.726   1.236   9.796   1.173   1.9   0.089   0.29   
OH_Ir_211_bridge1-s   0.356   2.753   2.707   1.08   4.45   8.0   2   -1.868   2.558   0.667   4.598   5.489   9.121   1.564   7.742   1.262   2.2   1.401   0.19   
OH_PtRh_211_bridge1-t-1   0.529   2.734   2.77   0.99   3.32   9.5   2   -1.395   2.326   1.555   9.684   5.078   7.459   1.143   7.922   1.241   2.28   2.352   0.126   
OH_AgAu_211_bridge2-t-1   0.982   2.988   2.968   0.95   2.805   9.0   2   -3.614   1.266   2.148   14.261   4.854   8.401   1.807   9.76   1.212   2.235   0.065   0.246   
OH_PtRh_211_bridge1-s-1   0.52   2.786   2.751   1.015   3.61   8.0   2   -1.704   2.088   1.368   8.429   5.414   8.209   1.634   8.373   1.123   2.28   1.943   0.175   
OH_Pd_211_fcc-s   0.599   2.819   2.803   0.94   2.78   8.333   3   -1.59   1.329   0.592   5.089   5.21   8.337   0.562   9.303   0.743   2.2   2.269   0.133   
