Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Pd@Ir_211_top-s-1   1.413   2.819   2.792   0.94   2.78   7.0   1   -2.114   1.598   0.552   5.952   5.21   8.337   0.562   9.205   0.831   2.2   0.699   0.173   
CO_Cu_211_top-t   2.039   2.603   2.581   0.67   1.0   9.0   1   -2.39   1.117   2.175   17.144   4.719   7.726   1.236   9.681   1.238   1.9   0.105   0.239   
CO_Cu_110_top   1.785   2.603   2.562   0.67   1.0   7.0   1   -2.234   0.899   0.817   9.927   4.699   7.726   1.236   9.824   1.113   1.9   0.099   0.287   
CO_Ag@Cu_211_bridge1-s-3   2.069   2.603   2.563   0.67   1.0   8.0   2   -2.364   1.043   1.596   14.183   4.719   7.726   1.236   9.774   1.204   1.9   0.097   0.266   
CO_IrRu_211_hcp-t-2   1.031   2.746   2.713   1.07   4.257   9.333   3   -1.785   2.501   0.762   4.712   5.289   8.534   1.391   7.419   1.163   2.2   1.377   0.143   
CO_PtRh_211_bridge3-s-2   0.936   2.786   2.769   1.015   3.61   8.5   2   -1.688   2.128   1.408   8.601   5.414   8.209   1.634   8.361   1.151   2.28   1.78   0.161   
CO_Pd@Ir_211_bridge1-s-3   1.116   2.753   2.7   1.08   4.45   8.0   2   -1.851   2.611   0.796   5.179   5.489   9.121   1.564   7.727   1.25   2.2   1.483   0.191   
CO_Rh_211_fcc-s   0.959   2.734   2.703   0.99   3.32   8.333   3   -1.426   2.27   1.892   10.993   5.078   7.459   1.143   7.906   1.063   2.28   1.918   0.171   
CO_Ni_110_top   1.002   2.502   2.461   0.71   1.16   7.0   1   -1.201   1.667   2.731   18.491   4.733   7.64   1.157   8.778   1.121   1.91   2.162   0.182   
CO_Cu_211_fcc-s   2.036   2.603   2.573   0.67   1.0   8.333   3   -2.355   1.063   1.935   15.964   4.719   7.726   1.236   9.692   1.202   1.9   0.1   0.247   
CO_Cu_100_bridge   1.97   2.603   2.582   0.67   1.0   8.0   2   -2.294   1.011   1.584   13.873   4.743   7.726   1.236   9.622   1.165   1.9   0.084   0.253   
CO_Pd_211_fcc-t   0.99   2.819   2.82   0.94   2.78   9.667   3   -1.715   1.405   0.682   4.968   5.21   8.337   0.562   9.265   0.804   2.2   2.178   0.115   
CO_AgPd_211_four-fold-s-1   1.568   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
CO_IrRu_211_top-s-1   0.357   2.753   2.685   1.08   4.45   7.0   1   -1.69   2.292   0.829   5.236   5.489   9.121   1.564   7.731   1.141   2.2   1.587   0.389   
CO_Pd@Ir_211_hcp-t-1   1.081   2.753   2.732   1.08   4.45   9.333   3   -1.95   2.648   0.727   4.612   5.489   9.121   1.564   7.697   1.299   2.2   1.372   0.13   
CO_Pt_211_top-s   0.844   2.838   2.781   1.04   3.9   7.0   1   -1.894   1.89   0.785   5.806   5.75   8.959   2.125   8.815   1.102   2.28   1.72   0.176   
CO_Ir_211_fcc-t   1.413   2.753   2.741   1.08   4.45   9.667   3   -2.0   2.712   0.747   4.601   5.489   9.121   1.564   7.699   1.323   2.2   1.311   0.106   
CO_Rh_211_bridge1-s   0.941   2.734   2.7   0.99   3.32   8.0   2   -1.393   2.226   1.891   11.121   5.078   7.459   1.143   7.918   1.043   2.28   1.955   0.189   
CO_Au_211_fcc-s   2.633   2.99   2.967   1.01   3.35   8.333   3   -3.182   1.396   1.458   9.76   5.28   9.226   2.309   9.734   1.254   2.54   0.091   0.242   
CO_AgAu_211_bridge1-s-1   2.627   2.988   2.961   0.95   2.805   8.0   2   -3.575   1.195   2.121   14.583   4.854   8.401   1.807   9.775   1.157   2.235   0.061   0.248   
CO_Ru_211_fcc-s   0.988   2.732   2.692   1.05   3.87   8.333   3   -1.296   2.07   0.383   3.447   4.889   7.361   1.046   7.095   0.871   2.2   1.457   0.185   
CO_Ru_211_bridge3-s   0.788   2.732   2.703   1.05   3.87   8.5   2   -1.252   2.065   0.41   3.639   4.889   7.361   1.046   7.115   0.878   2.2   1.552   0.196   
CO_Pt_211_hcp-t   1.152   2.838   2.831   1.04   3.9   9.333   3   -2.056   2.066   0.854   5.513   5.75   8.959   2.125   8.78   1.21   2.28   1.684   0.118   
CO_Ag@Cu_211_top-t-1   2.045   2.603   2.603   0.67   1.0   9.0   1   -2.399   1.02   1.251   11.696   4.719   7.726   1.236   9.719   1.248   1.9   0.104   0.253   
CO_Pt_211_fcc-s   1.115   2.838   2.807   1.04   3.9   8.333   3   -1.989   2.003   0.825   5.621   5.75   8.959   2.125   8.786   1.167   2.28   1.766   0.145   
CO_PtRh_211_top-t-1   1.234   2.838   2.77   1.04   3.9   9.0   1   -2.207   2.154   1.403   7.672   5.75   8.959   2.125   8.727   1.118   2.28   1.525   0.128   
CO_Pt_111_hcp   1.064   2.838   2.838   1.04   3.9   9.0   3   -1.944   1.98   0.835   5.619   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
CO_Pt@Rh_211_top-s-2   0.803   2.734   2.695   0.99   3.32   7.0   1   -1.293   2.108   1.809   11.161   5.078   7.459   1.143   7.953   1.01   2.28   2.157   0.231   
CO_PtRh_211_bridge1-s-4   0.954   2.734   2.741   0.99   3.32   8.0   2   -1.325   2.173   1.446   9.483   5.078   7.459   1.143   7.982   1.156   2.28   2.437   0.176   
CO_Au@Ni_211_hcp-s-2   0.804   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
CO_Pd@Ir_211_top-t-1   0.696   2.753   2.725   1.08   4.45   9.0   1   -1.939   2.61   0.703   4.544   5.489   9.121   1.564   7.691   1.293   2.2   1.372   0.142   
CO_AgAu_211_top-s-1   2.311   2.985   2.958   0.89   2.26   7.0   1   -3.808   1.008   2.246   15.982   4.427   7.576   1.304   9.839   0.983   1.93   0.038   0.225   
CO_Pt@Rh_211_top-t-2   0.889   2.734   2.703   0.99   3.32   9.0   1   -1.492   2.361   1.893   10.719   5.078   7.459   1.143   7.858   1.093   2.28   1.878   0.136   
CO_Au_211_bridge2-t   2.576   2.99   2.982   1.01   3.35   9.0   2   -3.21   1.432   1.472   9.618   5.28   9.226   2.309   9.733   1.281   2.54   0.097   0.233   
